,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
127,bredasdorp,-34.5322,20.0403,64.4,77,100,9.22,ZA,1616806857
128,sangar,63.9242,127.4739,13.21,90,100,12.97,RU,1616806857
129,kaitangata,-46.2817,169.8464,63.0,79,100,3.0,NZ,1616806645
130,nouakchott,18.0858,-15.9785,69.8,64,0,23.02,MR,1616806858
132,abha,18.2164,42.5053,60.8,67,0,1.7,SA,1616806858
133,upernavik,72.7868,-56.1549,-32.93,85,4,5.01,GL,1616806858
134,lasa,46.6166,10.7002,50.0,87,0,3.44,IT,1616806859
135,arlit,18.7369,7.3853,64.67,14,0,9.33,NE,1616806848
136,bilibino,68.0546,166.4372,-8.01,87,88,2.06,RU,1616806859
137,zyryanka,65.75,150.85,1.2,81,24,14.05,RU,1616806717
138,bathsheba,13.2167,-59.5167,77.0,65,40,21.85,BB,1616806835
139,nantucket,41.2835,-70.0995,48.99,81,1,20.71,US,1616806860
140,bushehr,28.9684,50.8385,72.84,59,1,7.67,IR,1616806860
141,laguna,38.421,-121.4238,73.4,15,1,10.36,US,1616806861
142,brae,60.3964,-1.353,39.2,81,64,3.44,GB,1616806861
143,souillac,-20.5167,57.5167,75.2,88,20,6.91,MU,1616806638
144,susuman,62.7833,148.1667,-10.61,89,89,3.18,RU,1616806861
145,kieta,-6.2167,155.6333,83.14,78,100,6.85,PG,1616806862
146,benidorm,38.5382,-0.131,55.99,89,6,4.7,ES,1616806862
147,pacific grove,36.6177,-121.9166,64.4,48,1,9.22,US,1616806862
148,nibe,56.9815,9.6392,44.6,93,20,11.5,DK,1616806863
150,nieuw amsterdam,5.8833,-55.0833,80.6,83,20,9.22,SR,1616806923
151,srednekolymsk,67.45,153.6833,1.62,77,18,4.85,RU,1616806924
152,los aquijes,-14.0967,-75.6908,70.0,73,0,20.71,PE,1616806924
153,shenjiamen,29.9576,122.298,57.45,98,100,14.92,CN,1616806924
154,novosheshminsk,55.0651,51.2338,33.39,98,100,8.3,RU,1616806925
155,drawsko pomorskie,53.5306,15.8097,42.01,85,38,3.0,PL,1616806925
156,wuwei,37.9281,102.6414,51.91,18,4,3.58,CN,1616806925
157,viedma,-40.8135,-62.9967,55.15,59,49,5.91,AR,1616806925
158,burrel,41.6103,20.0089,37.4,75,0,3.44,AL,1616806926
159,lakes entrance,-37.8811,147.981,69.01,65,100,4.27,AU,1616806926
160,luderitz,-26.6481,15.1594,61.9,80,0,8.57,NA,1616806902
161,northam,51.0333,-4.2167,46.0,74,21,14.0,GB,1616806927
162,arkhipo-osipovka,44.37,38.52,41.9,78,65,5.06,RU,1616806927
