,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
130,totma,59.9747,42.7642,28.69,93,47,11.01,RU,1617062533
131,yurty,56.0498,97.6348,31.26,77,100,14.34,RU,1617062533
132,ariquemes,-9.9133,-63.0408,74.28,96,90,2.04,BR,1617062533
133,camacha,33.0833,-16.3333,62.6,77,40,16.11,PT,1617062533
134,ubud,-8.5098,115.2654,80.6,94,40,3.44,ID,1617062534
135,olafsvik,64.8945,-23.7142,30.06,68,100,14.83,IS,1617062534
136,wanning,18.8003,110.3967,76.87,86,22,13.2,CN,1617062534
137,tiksi,71.6872,128.8694,6.49,93,100,4.25,RU,1617062535
138,ekibastuz,51.6667,75.3667,16.74,92,81,9.1,KZ,1617062535
139,komsomolskiy,40.4272,71.7189,41.0,75,50,4.61,UZ,1617062271
140,luena,-11.7833,19.9167,62.78,97,94,3.76,AO,1617062307
141,mar del plata,-38.0023,-57.5575,63.0,82,40,6.91,AR,1617062535
142,emba,48.8264,58.1442,24.06,96,99,4.09,KZ,1617062536
143,tagusao,9.1924,117.8141,81.52,78,70,2.48,PH,1617062536
144,byron bay,-28.65,153.6167,69.8,94,75,12.66,AU,1617062536
145,hofn,64.2539,-15.2082,27.86,66,2,19.22,IS,1617062537
146,chokwe,-24.5333,32.9833,63.82,77,0,3.44,MZ,1617062537
147,muros,42.7762,-9.0603,55.0,81,85,8.05,ES,1617062537
148,pisco,-13.7,-76.2167,71.6,68,0,20.71,PE,1617062068
149,puerto montt,-41.4698,-72.9447,57.2,82,0,5.75,CL,1617062422
150,yellowknife,62.456,-114.3525,6.8,43,1,8.05,CA,1617062056
151,pevek,69.7008,170.3133,-5.06,93,100,3.6,RU,1617062598
152,bredasdorp,-34.5322,20.0403,51.8,93,50,3.44,ZA,1617061998
153,adrar,20.5022,-10.0711,80.82,9,58,7.38,MR,1617062598
154,vaini,-21.2,-175.2,80.6,89,75,8.05,TO,1617062599
155,iqaluit,63.7506,-68.5145,0.0,78,20,19.57,CA,1617062599
156,klyuchi,52.2667,79.1667,19.51,89,76,14.41,RU,1617062599
157,kavieng,-2.5744,150.7967,85.39,67,100,12.1,PG,1617062600
158,kaitangata,-46.2817,169.8464,62.01,77,100,5.01,NZ,1617062071
159,hamilton,39.1834,-84.5333,59.0,30,1,9.22,US,1617062214
160,cholet,47.1667,-1.0,46.99,78,0,8.01,FR,1617062600
161,alofi,-19.0595,-169.9187,84.2,74,11,14.97,NU,1617062601
162,makaha,21.4694,-158.2175,80.6,61,90,16.11,US,1617062601
163,half moon bay,37.4636,-122.4286,64.4,76,1,9.22,US,1617062601
164,sorong,-0.8833,131.25,81.5,77,91,6.13,ID,1617062601
165,atlantis,-33.5667,18.4834,64.0,95,6,2.71,ZA,1617062602
166,bengkulu,-3.8004,102.2655,75.7,89,72,3.62,ID,1617062602
167,souillac,-20.5167,57.5167,73.4,94,20,5.75,MU,1617062602
168,goderich,43.7501,-81.7165,42.8,49,25,11.5,CA,1617062603
169,zilair,52.2332,57.4392,20.08,94,29,3.96,RU,1617062603
170,sitka,57.0531,-135.33,39.2,93,90,4.61,US,1617062603
171,biak,-0.9131,122.8766,79.34,78,97,1.19,ID,1617062604
172,kota,25.1833,75.8333,82.72,14,37,14.03,IN,1617062315
173,bonthe,7.5264,-12.505,78.37,86,91,3.22,SL,1617062604
174,chuy,-33.6971,-53.4616,67.37,81,44,14.63,UY,1617062604
175,sarangani,5.4033,125.4636,76.75,86,100,5.41,PH,1617062605
176,paluan,13.416,120.4623,81.7,74,100,10.16,PH,1617062605
177,tuatapere,-46.1333,167.6833,60.01,88,100,1.01,NZ,1617062605
178,cidreira,-30.1811,-50.2056,70.11,66,9,7.36,BR,1617062605
179,jaen,38.0,-3.5,52.81,57,39,8.68,ES,1617062606
180,cleveland,41.4995,-81.6954,50.0,65,1,10.36,US,1617062415
181,husavik,66.0449,-17.3389,24.8,86,90,4.61,IS,1617062606
182,iracoubo,5.4802,-53.2011,77.47,86,90,14.74,GF,1617062606
183,high rock,26.6208,-78.2833,78.8,69,75,4.61,BS,1617062608
185,berlevag,70.8578,29.0864,33.51,81,49,11.52,NO,1617062608
186,vicksburg,32.3526,-90.8779,69.8,37,1,4.81,US,1617062609
187,narsaq,60.9167,-46.05,24.8,46,75,2.3,GL,1617062609
188,ola,59.5833,151.2833,23.47,69,100,11.61,RU,1617062609
189,rio grande,-32.035,-52.0986,64.99,86,25,13.67,BR,1617062379
190,touros,-5.1989,-35.4608,78.8,89,40,5.75,BR,1617062610
191,diplo,24.4667,69.584,74.7,87,42,12.77,PK,1617062610
192,beringovskiy,63.05,179.3167,13.12,83,100,19.6,RU,1617062610
193,novobirilyussy,56.9514,90.6661,20.97,89,87,8.39,RU,1617062611
194,liverpool,53.4106,-2.9779,51.8,87,1,9.22,GB,1617062548
195,bousso,10.4795,16.7117,82.49,10,0,12.21,TD,1617062611
196,bilibino,68.0546,166.4372,-3.08,93,99,3.78,RU,1617062611
197,beidao,34.5686,105.8933,55.0,65,10,4.29,CN,1617062612
198,kargasok,59.0556,80.8572,5.4,97,76,9.19,RU,1617062612
199,gualeguaychu,-33.0094,-58.5172,69.01,83,42,14.0,AR,1617062537
200,atikokan,48.7555,-91.6216,49.24,79,100,14.12,CA,1617062672
201,rio gallegos,-51.6226,-69.2181,59.0,63,0,8.05,AR,1617062424
202,clyde river,70.4692,-68.5914,-7.6,84,90,13.8,CA,1617062673
203,kloulklubed,7.0419,134.2556,84.2,79,75,8.05,PW,1617062673
204,lichinga,-13.3128,35.2406,57.36,95,57,7.83,MZ,1617062673
205,cayenne,4.9333,-52.3333,81.0,89,75,5.75,GF,1617062673
206,port blair,11.6667,92.75,80.2,79,94,4.07,IN,1617062674
207,kudahuvadhoo,2.6708,72.8944,82.26,75,100,20.92,MV,1617062075
208,buala,-8.145,159.5921,86.11,64,14,3.83,SB,1617062674
209,verkhnevilyuysk,63.4453,120.3167,18.1,93,96,3.04,RU,1617062674
210,vila velha,-20.3297,-40.2925,80.6,74,0,5.75,BR,1617062427
211,ostrzeszow,51.4264,17.9336,53.01,77,100,6.71,PL,1617062384
213,filadelfia,39.9523,-75.1638,53.01,37,1,9.22,US,1617062474
214,walvis bay,-22.9575,14.5053,61.0,82,5,2.3,NA,1617062675
215,taltal,-25.4,-70.4833,65.71,77,19,4.74,CL,1617062676
216,rapid valley,44.0625,-103.1463,46.4,19,1,32.21,US,1617062676
217,astaneh-ye ashrafiyeh,37.2596,49.9444,45.88,83,17,1.86,IR,1617062676
218,madang,-5.2246,145.7966,79.97,84,98,0.65,PG,1617062676
219,waitati,-45.75,170.5667,57.99,82,100,15.01,NZ,1617062677
220,venice,27.0998,-82.4543,78.8,78,20,8.05,US,1617062677
221,arroyo,41.6096,-4.7969,55.4,50,0,8.05,ES,1617062677
222,auki,-8.7676,160.7034,86.92,61,27,2.21,SB,1617062536
223,corn island,12.1694,-83.0418,80.2,76,7,21.14,NI,1617062678
224,kristiinankaupunki,62.2743,21.376,37.45,77,100,10.18,FI,1617062678
225,teguise,29.0605,-13.564,64.4,77,20,4.61,ES,1617062678
226,carballo,43.213,-8.691,57.2,72,0,3.44,ES,1617062679
227,synya,65.3718,58.0387,32.61,98,100,6.58,RU,1617062679
228,nalut,30.3333,10.85,60.93,23,98,10.49,LY,1617062679
229,port alfred,-33.5906,26.891,68.27,89,92,21.77,ZA,1617062679
230,hasaki,35.7333,140.8333,64.4,77,75,8.05,JP,1617062522
231,chapais,49.7834,-74.8492,17.6,67,20,5.75,CA,1617062680
232,college,64.8569,-147.8028,33.01,74,90,3.44,US,1617062680
233,yamada,39.4667,141.95,55.2,48,93,3.22,JP,1617062680
234,deputatskiy,69.3,139.9,4.37,90,78,1.25,RU,1617062681
235,port macquarie,-31.4333,152.9167,73.99,61,67,3.0,AU,1617062537
